aback                                    смущенный,захваченный врасплох
proportionate                            соразмерный,пропорциональный
proposal                                 предложение
propose                                  предлагать,делать предложение о браке,строить планы
proposition                              утверждение,предположение,дело,теорема,задача
propound                                 ставить на обсуждение,выдвигать
proprietary                              собственический,составляющий собственность
proprietor                               владелец,собственник
proprietress                             владелица,собственница
propriety                                правильность,уместность,правила приличия,пристоцность
props                                    имущество,собственность,земельная собственность,свойство
propulsion                               толчек,движение вперед
propulsive                               приводящий в движение,продвигающий
prorogtion                               перерыв в работе парламента
prorogue                                 назначить перерыв в работе парламента
prosaic                                  прозаический,повседневный
proscute                                 вести (занятия),преследовать судебным порядком
prose                                    пороза,прозаичный,скучно говорить
prosecelyte                              новообращенный
prosecpective                            будущий,ожидаемый
prosecution                              ведение (занятий),выполнение работы,преследование,обвинение
prosecutor                               истец,обвинитель
prospect                                 вид,перспектива,планы,исследовать
prosper                                  преуспевать,процветать
prosperity                               процветание,благосостояние
prosperous                               процветающий,благоприятный
prostitute                               проститутка
prostitution                             проституция
prostrate I                              распростертый,изнеможенный,повергать,унижать,истощать
prostrate II                             доводить до очаяния
prostration                              поверженное состояние,истощение,упадок сил,прострация
prosy                                    скучный
protacted                                длительный
protaggonist                             главный герой,актер в главной роли,поборник
protect                                  охранять,защищать,ограждать,покровительствовать
protected field                          защищенное поле
protected file                           защищенный файл
protection                               защита
protection I                             защита,охрана,покровительство,протекционизм,ограждение
protection II                            предохранение
protection lock                          замок защиты
protective                               защитный,предохранительный,покровительственный
protector                                защитник,покровитель,защитное приспособление
protectorate                             протекторат
protest                                  протестовать,протест,опротестование
protestant                               протестант
protestantion                            заявление,протест
protocol                                 протокол
prototyping                              макетрование.Разработка упрощенной версии системы
prototyping board                        макетная плата
prototyping system                       макет системы, система макетирования
protract                                 тянуть,медлить,затягивать,чертить (план)
protractor                               транспортир,угломер
protrude                                 порчать,выдаваться наружу
protrudion                               выступ
protuberance                             выпуклость,опухоль
protuberant                              выпуклый,выдающийся впред
proud                                    гордый,надменный,величавый
provative                                вызывающий,возбуждающий,ровокационный
prove                                    доказывать,удостоверять,испытывать
prove a will                             утверждать заявление
prove oneself                            показывать себя
provebial                                вощедшиц в поговорку,общеизвестный
provender                                фураж,корм,пища
proverb                                  пословица,поговорка
provide                                  запасать,запасаться,снабжать,принимать меры,предусматривать
provided                                 если только,при условии,что
provided that                            при условии что
providence                               предусмотрительность,бережливость,провидение
provident                                предусмотрительный,осторожный,бережливый
provider                                 поставщик
providing                                если только,при условии,что
providing that                           при условии что
province                                 провинция,область,сфера деятельности,компетенция
provincial                               провинциал,провинциальный
provincialism                            провинциальность,провенционализм
provision                                обепечение,заготовление,провизия,положение,постановление
provisional                              временный
proviso                                  условие,оговорка в условии
provisory                                условный,временный
provocation                              вызов,провокация,раздражение
provoke                                  вызывать,провоцировать,сердить
provoking                                досадный
provost                                  ректор,проректор,мэр,начальник военной полиции
prow                                     нос (судна)
prowess                                  доблесть,удаль
prowl                                    красться,бродить
proximate                                длижайший,непосредственный
proximaty                                близость
proxy                                    довкренное лицо,уполномоченный,заместитель,доверенность,полномочие
prude                                    жеманница
prudence                                 благоразумие,осмотрительность
prudent                                  осторожный,осмотрительный
prudish                                  жеманный
prune                                    чернослив,подрезать ветви,сокращать,упрощать,отделывать
pruning                                  отсечение, подрезка
prussic acsid                            синильная кислота
pry                                      совать нос в чужые дела
pry open                                 подымать при помощи рычага
pry out                                  допытываться
pryer                                    молитва,мольба
psalm                                    псалм
pseodonymous                             под псевдонимом
pseudo                                   ложно-,псевдо-
pseudo instruction                       псевдокоманда
pseudonym                                псевдоним
pshaw                                    фи
pshychiatrist                            психиатор
pshychiatry                              психиатрия
pshychoanalysis                          психоанализ
pshychologist                            психолог
pshychology                              психология
psyche                                   душа,дух
pub                                      трактир,кабак
puberty                                  половая зрелость
pubescence                               половое созревание,пушок (на растениях)
public                                   экспортируемый; общий; общий, открытый
public I                                 народ,широкая публика,публичный,народный,общественный
public II                                коммунальный,государствкнный,открытый
public data                              общие данные; общедоступная информация
public data base                         общая база данных, база данных общего пользования
public domain software                   бесплатное программное обеспечение
public key system                        криптосистема с ключом общего пользования
public library                           общая библиотека
publican                                 трактирщик
publication                              опубликование,оглашение,издание
publicity                                гластность,реклама
publicly                                 открыто,публично
publish                                  опубликовывать,издавать
publisher                                издатель
publishing office                        издательство
publising house                          издательство
publlic                                  превилегилированное частное закрытое учебное заведение
puce                                     лиловато-коричневый цвет
pucker                                   морщина,складка,морщится,делать складки,морщить
puckish                                  озорной
pudding                                  пуддинг
puddle                                   лужа
pudgy                                    низенький и тонкий
puerility                                ребячество
puerily                                  ребяческий
puff I                                   дуновение,клуб (пара,пуховка для пудры,дутая реклама
puff II                                  пыхтеть,надувать,выпячивать,шумно рекламировать
puff at                                  попыхивать сигарой
puff box                                 пудренница
puff up                                  надменный
puffy                                    одутловатый,срадающий отдышкой
pug                                      мопс
pug nosed                                курносый
pugilism                                 бокс
pugilist                                 боксер
pugnacious                               драчливый,склонный к полемике
pugnacity                                драчливость,боевой задор
puissance                                могущество
pule                                     хныкать,пищать
pull                                     тянуть,тащить,дергать,натягивать,грести
pull about                               грубо обращаться
pull at                                  дергать,затягиваться сигарой
pull back                                оттягиваться назад
pull down                                опускать шторы,сносить здания,опрокидывать
pull in                                  втягивать,сокращать,прибывать на станцию (о пезде)
pull off                                 снимать,добиться,успешно осуществить,выигратьприз,отчаливать
pull on                                  натягивать чулки
pull out                                 отходить от станции (о поезде)
pull over I                              надевать через голову,перетягивать,перетаскивать
pull over II                             фуфайка,свитер,полувер
pull together                            выпутаться из беды,справится с болезнью
pull up                                  остановить,продвигаться вперед,выдергивать,дерганье,усилие
pull-down menu                           спускающееся меню
pullet                                   молодка
pulley                                   шкив,ворот
pulmonary                                легочный
pulp                                     мякоть плода,пульпа,бесформенная масса,превращать в мякоть
pulpit                                   кафедра проповедника
pulpy                                    мягкий,мясистый
pulsate                                  пудьсировать,биться
pulsation                                пульсация
pulse                                    вибрация,пульс
pulverize                                растирать в порошок,рапылять,сокрушать
pulverizor                               распылитель,форсунка
pumise stone                             пемза
pummel                                   бить
pump                                     насос,водокачка,качать,выведовать
pump out                                 выкачивать
pump up                                  накачивать
pumpkin                                  тыква
pumps                                    лакированный бальный туфли
pun                                      каламбур,каламбурить
punch I                                  перфоратор,перфорировать,пробивка,перфорация,пуансон,пробойник
punch II                                 ударять кулаком,пробивать,штамповать,удар кулаком,кернер
punch III                                петрушка,пунш
punchilio                                формальность,педантичность
punchilious                              очень щепетильный
punctual                                 пунктуальный,точный
punctuality                              пункткальность,точность
punctuate                                ставить знаки препинания,прерывать
punctuation                              пунктуация
puncture I                               колотая рана
puncture II                              прокол,прокалывать,пробивать
pungent                                  острый,едкий
pungrhcy                                 острота,едкость
punish                                   наказывать
punishment                               наказание
punitive                                 карательный
punt I                                   поддавать мяч ногой,понтировать,ставить ставку
punt II                                  плоскодонный ялик,плыть на ялике
puny                                     маленький,хилый
pup                                      щенок,щенится
pupa                                     куколка
pupil                                    ученик,воспитанник,зрачок
pupilary                                 зрачковый
puppet                                   марионетка
puppet show                              кукольное представление
puppy                                    щенок,фат
purblind                                 подслеповатый,недальновидный,тупой
purchase                                 покупка,приспособление для поднятия грузов,покупать,закупать
pure                                     чистый,без примеси,чистокровный,целомудреный
pure code                                "чистый код"
pure data                                константы, неизменяемые данные
pure function                            функция без побочного эффекта
purely                                   чисто,совершенно,исключительно,полностью,вполне
purgative                                слабительное
purgatory                                чистилище
purge                                    очищение,очищать,давать слабительное,искупать вину
purge                                    чистить
purge date                               дата истечения срока хранения
purifactory                              очистительный
purification                             очистка,очищение
purify                                   очищать
purity                                   чистота,непорочность,проба
purl                                     журчание,журчать
purlieus                                 окрестности,пригороды
purloin                                  воровать,похищать
purple                                   багряный,пурпурный,темнокрасный,фиолетовый,профира,сан координала
purport                                  смысл,содержание,намерение;подразумевать,означать;претендовать
purpose                                  намерение,цель,намереваться
purposefull                              целеустремленный,умышленный
purposeless                              бесцельный,бесполезный
purposely                                нарочно,с целью
purr                                     мурлыканье,мурлыкать
purse                                    кошелек,мошна,деньги,приз,морщить
pursuance                                выполнение
pursuant                                 согласно,в соответствии
pursue                                   преследовать,гнаться,продолжать
pursuer                                  преследователь
pursuit                                  преследование,погоня,занятие
purulent                                 гнойный,гноящийся
purvew                                   кругозор,компетенция
purvey                                   снабжать
purveyor                                 поставщик
pus                                      гной
push                                     помещать на стек
push I                                   подталкивать,проталкиваться,нажимать,продвигать вперед
push II                                  толчек,давление,нажим,энергия,решимость,кнопка,толкать
push away                                отталкиваться
push button war                          кнопочная война
push cart                                тялежка
push forward                             стремиться вперед
push off                                 оттолкнуться,отвалить,сбывать товары
push on                                  продвигаться впред
push-down automaton                      магазинный автомат;автомат с магазинной памятью
push-down list                           стек
push-down stack                          стек
pushing                                  напористый
pusillanimity                            малодушие
pusillanimous                            малодушный
pussy cat                                киска
pussy willow                             верба
puster                                   остряк
pustile                                  гнойничок,прыщ
pustulate                                покрываться прыщами
put                                      положить,поставить,бросать,метать,приводить в определенное состояние
put                                      выводить, помещать запись(record) в файл или в базу данных. Ср. get, write
put about                                лечь на другой галс,растространять слух
put acroos                               перевозить,переправлять,обмануть кого-либо
put aside                                убирать,копить
put away                                 убирать,откладывать деньги,поедать
put back                                 положить на место
put by                                   откладывать про запас
put down                                 высаживать,записывать,подавлять,приписываить
put forward                              выдвигать,предлагать
put in                                   входить в порт,приставать к берегу,представлять на рассмотрение
put off                                  откладывать,отговариваться
put on                                   надевать
put out                                  гасить (свет),выходить в море,вывихнуть,выкладывать,выпускать
put through                              проводить,соединять
put together                             сопоставлять,комплектовать,собирать
put up                                   строить,вчпугнуть,поднимать цену,вывешивать,приютить
put up a job                             подстроенное дело
put up at                                остановиться (в гостинице)
put up with                              терпеть,мириться
putrefaction                             гниение
putrefy                                  гнить,разлагаться,зражать гнилью
putrid                                   гнилой,испорченный,вонючий
putridity                                гниль,гнилость
puttee                                   обмотка,краги
puttive                                  предполагаемый
putty                                    замазка,шпаклевка,замазывать
puzzle                                   загадка,головоломка,недоумение,озадачить,поставить в тупик
puzzle out                               разобраться,распутать
puzzlement                               замешательство,смущение
pygmy                                    пигмей,карлик
pyjamas                                  пижама
pyongyang                                пхеньян
pyramid                                  пирамида
pyre                                     погребальный костер
pyrenees                                 пиренеи
quack                                    кряканье,крякать,знахарь,шарлатан
quackery                                 шарлатанство
quad density disk                        гибкий диск для записи с учетверенной плотностью
quadrange                                квадрант
quadrilateral                            четырехсторонний
quadruped                                четвероногое
quadruple                                состоящий из четырех частей
quadtree                                 дерево квадрантов, 4-дерево
quaff                                    пить большими глотками
quagmire                                 болото,трясина
quail                                    перепел,перепелка,дрогнуть,струсить
quaint                                   странный,причудливый
quake                                    дрожать,трястись
quaker                                   квакер
qualification                            оговорка,ограничение,квалификация,ценз
qualification                            уточнение; префикс
qualified name                           составное имя, уточненное имя
qualifier                                уточнитель, спецификатор; префикс (составного имени); квалификатор, указательный бит
qualify                                  приобретать специальность,точнее определять,ограничивать
qualitive                                качественный
qualitively                              качественно
quality                                  качество,сорт,достоинство
qualm                                    тошнота,опасение,сомнения
quandary                                 затруднительное положение
quantifier                               квантор
quantify                                 определять количественно,квантифицировать
quantitative                             количественный
quantitative assesment                   количественная оценка
quantity                                 величина,количество
quarantine                               карантин,подвергать карантину
quarrel                                  ссора,ссориться
quarrelsome                              задиристый,сварливый,вздорный
quarry                                   добыча,преследуемый зверь,каменоломня,картер,источник сведений
quart                                    кварта
quarter I                                четверть,четверть часа,квартал,страна света,жилище,сторона
quarter II                               двадцать пять центов,делить на четыре части,расквартировывать
quarterly                                квартальный,журнал выходящий раз в три месяца
quartermaster                            квартирмейстер
quartz                                   кварц
quash                                    аннулировать
quasi                                    как будто
quaver                                   дрожание,трель,восьмая нота,дрожать,вибрировать
quay                                     набережная
queasiness                               тошнота
queasy                                   слабый,испытывающий тошноту,щепетильный
queen                                    королева,дама (карт),ферзь,матка (у пчел)
queer                                    странный,подозрительный
quell                                    подавлять,сокрушать
quench                                   утолять,тушить,охлаждать (пыл)
quenching                                закалка (металла)
querulous                                ворчливый
query                                    вопрос,спрашивать,подвергать сомнению
query                                    запрос. Задание на поиск определенных данных в базе данных
query facilities                         средства поиска; возможность поиска
query language                           язык запросов
quest                                    поиски,искомый предмет,искать
question                                 вопрос,проблема,дело,сомнение,задавать вопрос,допрашивать
question mark                            знак вопроса
question-answering system                вопросно-ответная система
questionable                             недостоверный,сомнительный
questioning                              допрос
questionnaire                            вопросник
queue                                    анкета
queue                                    очередь
queue discipline                         организация очереди
queued access method                     метод доступа с очередями
queuing                                  организация очереди
queuing discipline                       организация очереди, алгоритм планирования
quibble                                  играслов,увертка,уклоняться (от ответа)
quick                                    быстрый,скорый,живой,сообразительный,чувствительное место,быстро
quick sort                               быстрая сортировка
quick tempered                           вспыльчивый
quick witted                             сообразительный
quicklime                                некгашеная известь
quickly                                  быстро,скоро
quicksand                                сыпучий песок,плывун
quicksilver                              ртуть
quid                                     фунт стерлингов
quiescent                                неподвижный,бездействующий,в состоянии покоя
quiet                                    покой,тишина,спокойный,тихий,мирный,неяркий,тайный
quiet down                               успокаивать
quietly                                  спокойно,тихо
quiettude                                тишина
quill                                    перо
quilt                                    одеяло
quinbinary                               двоично-пятиричный
quince                                   айва
quinine                                  хинин
quinsy                                   ангина
quip                                     эптграмма,колкость,надсмехаться
quirk                                    причуда
quit                                     оставлять,покидать,бросать
quite                                    вполне,совсем
quits                                    расквипаться,быть в расчете
quiver                                   дрожь,трепет,дрожать,колчан
quixotic                                 донкихотский
quiz                                     викторина,насмехаться,выспрашивать,предварительный экзамен
quizzcal                                 насмешливый,чудаковатый
quod                                     тюрьма
quondam                                  бывший
quorium                                  кворум
quota                                    квота,доля,норма выработки
quotation                                ципирование,цитата,расценка,котировка
quotation marks                          кавычки
quote                                    цитата,цитировать,кавчки,ссылаться
quoted string                            строка в кавычках, строковая константа
quotient                                 частное
rabbit                                   кролик
rabble                                   сброд,чернь
rabid                                    неистовй,яростный,бешенный
rabies                                   водобоязнь,бешенство
raccon                                   енот
race                                     раса,род,племя,состязание в скорости,быстрое течение,мчаться
race course                              ипподром
raceteer                                 бандит-вымогатель,ганстер,рэкитер
raceteering                              гантеризм
racial                                   расовый
racily                                   пикантно
raciness                                 пикантность
racing                                   состязание в скорости,игра на скачках
rack I                                   кормушка,рама,подставка,вешалка,полка,сетка
rack II                                  пытать,мучить,изнурять непосильной работой
rack rent                                чрезмерно выссокая арендная плата
racket I                                 шум,суета,шантаж,вымогательство,жульничество
racket II                                ракетка
racoon                                   енот
racquet                                  ракетка
racy                                     характерный,живой,энергичный,пикантный
radar                                    радиолокатор
radial                                   лучевой,лучистый
radiance                                 сияние
radiant                                  лучистый,сияющий
radiate                                  излучать
radiation                                излучение,радиация
radiator                                 радиатор
radical                                  радикал,коренной,радикальный,корень (матем)
radio                                    радио,передавать радиограмму
radio active                             радиоактивный
radio activity                           падиоактивность
radio location                           радиолокация
radio operatop                           радист
radio rgamophone                         радиола
radiogram                                радиограмма
radiograph                               рентгеновский снимок
radish                                   редиска
radium                                   радий
radix                                    основание системы счисления
radix complement                         точное дополнение
radix-minus-one complement               поразрядное дополнение
raffish                                  беспутный
raffle                                   лоторея,разыгрывать в лоторее
raft                                     плот,паром,переправлять на пароме
rafter                                   стропило,балка
raftsman                                 плотовщик,паромщик
rag I                                    тряпка,тряпье,отрепья,листок,клочек
rag II                                   дразнить,скандалить,шуметь
ragamuffin                               оборванец
rage                                     гнев,увлечение,мода,беситься,бушевать
ragged                                   истрепанный,оборванный,шероховатый,зазубренный
ragged array                             (двумерный) массив со строками разной длины
ragtag                                   сброд
ragtime                                  джазовый ритм
raid                                     набег,налет,рейд,делать налет,облаву
rail                                     ругать,поносить,перила,ограда,поручни,рельс
railing                                  нагоняй,перила,ограда
raillery                                 добродушная шутка
railroad                                 железная дорога,протолкнуть,провести в спешном порядке
railway                                  железная дорога
raiment                                  одеяние
rain                                     дождь,идет дождь
rain bow                                 радуга
rain coat                                непромокаемый плащ
rain fall                                ливень,количество осадков
rainless                                 засушливый
rainproof                                непромокаемый
rainy                                    дождливый
raise                                    поднимать,воздвигать,вызывать смех,выращивать,воспитывать,собирать
raise                                    возбуждать (особую ситуацию)
raisin                                   изюм
rajah                                    раджа
rake                                     грабли,повеса,распутник
rake                                     ровнять,подчищать
rake off                                 доля посредника в доходе,взятка
rake out                                 выгребать
rake up                                  сгребать
rakish                                   распущенный,распутный
rally                                    подшучивать,сплотится,оправляться
rally                                    слет,сбор,восстановление (сил),
ram                                      баран,гидравлический таран,таранить,забивать,трамбовать
ramble                                   бродить,говорить бессвязанно,виться (о растениях)
ramble                                   прогулка,
rambling                                 бессвязанный,разбросанный,слоняющийся
ramification                             разветвление,ответвление,отросток
ramp                                     скат,уклон,жульничество,бушевать
rampage                                  буйствовать
rampant                                  неистовый,буйно разросшийся,сильно рапространенный
rampart                                  вал,оплот
ramrod                                   шомпол
ramshackle                               ветхий
ran                                      бежать (прошед вр)
ranch                                    ферма,ранчо
rancid                                   прогорклый
rancour                                  злоба,затаенная обида
random                                   случайный,наугад
random access                            прямой доступ; произвольный доступ
random file                              файл прямого доступа
random number                            случайное число
random number generator                  генератор (псевдо)случайных чисел
random sample                            случайная выборка
random variable                          случайная величина
random walk                              метод случайного блуждания
random-access memory                     оперативная память, ОЗУ; запоминающее устройство с произвольной выборкой, ЗУПВ
